1.1.1.1,2.2.2.2,AAA,BBB,KR,웹셸 생성,phishing,2022-02-10,2022-03-10,access-log
1.1.1.1,3.3.3.3,AAA,CCC,JP,웹셸 접근,phishing,2022-02-10,2022-03-10,access-log
1.1.1.1,4.4.4.4,AAA,YYY,KR,피싱 페이지 생성,phishing,2022-02-10,2022-03-10,access-log
2.2.2.2,4.4.4.4,BBB,YYY,KR,웹셸 접근,phishing,2022-02-10,2022-03-10,access-log
2.2.2.2,3.3.3.3,BBB,CCC,KR,SQL 인젝션,leak,2022-02-10,2022-03-10,access-log
3.3.3.3,1.1.1.1,CCC,AAA,CN,웹셸 접근,ransome,2022-02-10,2022-03-10,access-log
3.3.3.3,2.2.2.2,CCC,BBB,KR,웹셸 접근,Supply Chain,2022-02-10,2022-03-10,access-log
4.4.4.4,3.3.3.3,XXX,CCC,KR,웹셸 생성,ransome,2022-02-10,2022-03-10,access-log
5.5.5.5,1.1.1.1,EEE,AAA,KR,웹셸 생성,leak,2022-02-10,2022-03-10,access-log
6.6.6.6,7.7.7.7,ZZZ,FFF,KR,웹셸 접근,DDoS,2022-02-10,2022-03-10,access-log
8.8.8.8,7.7.7.7,GGG,FFF,KR,DDoS,DDoS,2022-02-10,2022-03-10,access-log
